id адреса,Сумма,Срок задолжденности
1,"р.0,00",0
2,"-р.20 334,00",9
3,"р.234,00",0
4,"р.45,00",0
5,"р.6,00",0
6,"р.0,00",0
7,"р.0,00",0
8,"р.0,00",0
9,"р.0,00",0
10,"-р.37 890,00",11
11,"р.56,00",0
12,"р.4,00",0
13,"р.0,00",0
14,"р.78,00",0
15,"р.9,00",0
16,"-р.19 005,00",6
17,"р.67,00",0
18,"р.0,00",0
19,"р.42,00",0
20,"р.0,00",0
21,"-р.75 472,00",16
22,"р.0,00",0
23,"р.55,00",0
24,"р.7,00",0
25,"р.0,00",0
26,"р.66,00",0
27,"р.234,00",0
28,"р.0,00",0
29,"-р.763,00",2
30,"р.0,00",0
31,"р.664,00",0
32,"р.11,00",0
33,"р.34,00",0
34,"р.0,00",0
35,"-р.666,00",2
36,"р.4,00",0
37,"р.72,00",0
38,"р.0,00",0
39,"р.56,00",0
40,"р.0,00",0
41,"-р.93,33",1
42,"р.76,00",0
43,"р.5,00",0
44,"р.765,00",0
45,"-р.12 345,00",5
46,"р.7 845,00",0
47,"р.66,00",0
48,"-р.9 876,50",3
49,"р.0,00",0
50,"р.34,00",0
