Тип ,id адреса,Комментарий,Дата начала,Дата окончания
Авария ,1,Аварии на магистральном водопроводе. Не будет горячей и холодной воды.,25.04.2026 12:00,26.04.2026 18:00
Авария ,13,Авария на трансформаторной подстанции. Работы по устранению последствий уже видуться. Временно не будет электроснабжения,24.04.2026 18:00,27.04.2026 1:00
Авария ,14,Авария по пречине засора стояка на первом этаже. Аварийная бригада уже работает на месте,26.04.2026 10:00,26.04.2026 18:00
Авария ,19,"Авария по адресу город Копейск, улица Ивана Кожевникова, дом 51А. Затоплене подвальных помещений. Аварийная бригада уже выехала по пдресу.",25.04.2026 9:00,26.04.2026 9:00
Плановые работы,7,Плановые профилактических работах в котельной,20.04.2026,27.04.2026
Плановые работы,11,Плановое отключение воды для проведения гидравлических испытания сетей,06.04.2026,26.04.2026
Плановые работы,15,Плановые работы по замене ветхих труб и очистки коммуникаций,22.04.2026,25.04.2026
Авария ,20,Аварийное повреждение кровли. Ведутся работы по устранению протечки,21.04.2026 10:00,22.04.2026 20:00
Авария ,32,Прорыв водопроводной трубы на 2 этаже. Аварийная бригада на месте,01.05.2026 10:00,03.05.2026 16:00
Авария ,33,Аварийная остановка лифта. Пассажиры выпущены. Ремонтируем,29.04.2026 9:00,29.04.2026 13:00
Авария ,38,Прорыв стояка отопления. Отключено теплоснабжение. Работает бригада,20.04.2026 14:00,22.04.2026 18:00
Плановые работы,26,Плановая проверка системы отопления. Возможна временная остановка циркуляции,28.04.2026 9:00,30.04.2026 17:00
Плановые работы,30,Плановая проверка газовых сетей. Требуется доступ в квартиры,01.05.2026 10:00,03.05.2026 16:00
Плановые работы,34,Плановая проверка электрощитовой. Временное отключение света в подъезде,29.04.2026 9:00,29.04.2026 13:00
Плановые работы,40,Плановая промывка канализационных сетей. Возможен временный запах,02.05.2026 8:00,02.05.2026 17:00
Плановые работы,42,Проверка фасадного утепления и герметичности швов,05.05.2026 9:00,06.05.2026 18:00
Плановые работы,44,Плановые профилактических работах в котельной,06.05.2026 9:00,07.05.2026 13:00
